status_id,message_id,user_id,status,updated_at
58,12,14,seen,2025-12-15 10:37:19
59,12,30,seen,2025-12-15 11:00:58
60,12,22,seen,2025-12-15 10:51:01
61,12,49,seen,2025-12-15 11:07:02
62,13,55,seen,2025-12-09 12:39:38
63,14,18,seen,2026-04-26 17:52:21
64,14,50,seen,2026-04-26 17:33:02
65,14,42,seen,2026-04-26 18:17:53
66,14,47,delivered,2026-04-26 18:00:20
67,15,54,seen,2026-05-07 18:44:43
68,16,16,seen,2026-04-09 05:46:53
69,16,18,seen,2026-04-09 04:49:10
70,16,8,seen,2026-04-09 05:05:28
71,16,51,seen,2026-04-09 05:40:47
72,16,27,seen,2026-04-09 05:26:50
73,16,34,seen,2026-04-09 05:36:35
74,16,54,sent,2026-04-09 05:20:08
75,16,1,delivered,2026-04-09 05:30:17
76,17,35,seen,2026-02-14 02:29:34
77,17,20,seen,2026-02-14 01:46:47
78,17,7,seen,2026-02-14 01:53:14
79,17,39,sent,2026-02-14 02:24:31
80,17,2,delivered,2026-02-14 01:37:59
81,18,9,seen,2025-12-06 00:46:23
82,18,29,delivered,2025-12-06 01:04:56
83,18,54,delivered,2025-12-06 00:52:03
84,18,48,seen,2025-12-06 00:49:59
85,18,39,seen,2025-12-06 01:08:01
86,18,19,seen,2025-12-06 01:05:58
87,18,22,delivered,2025-12-06 00:31:57
88,18,6,seen,2025-12-06 01:03:00
89,18,56,seen,2025-12-06 00:43:31
90,18,30,seen,2025-12-06 00:29:37
91,19,52,seen,2026-04-23 01:07:27
92,19,59,seen,2026-04-23 00:55:15
93,19,60,seen,2026-04-23 01:30:17
94,19,49,seen,2026-04-23 01:14:58
95,19,11,seen,2026-04-23 00:49:06
96,19,44,seen,2026-04-23 00:44:11
97,19,6,seen,2026-04-23 00:50:06
98,19,20,seen,2026-04-23 00:46:25
99,19,34,seen,2026-04-23 00:51:23
100,19,55,seen,2026-04-23 01:19:11
101,20,55,delivered,2025-12-16 08:44:32
102,20,22,seen,2025-12-16 08:29:10
103,20,44,seen,2025-12-16 08:50:42
104,20,35,seen,2025-12-16 08:16:03
105,21,52,delivered,2025-12-24 18:19:08
106,21,8,seen,2025-12-24 17:59:53
107,21,42,seen,2025-12-24 18:25:43
108,21,55,seen,2025-12-24 17:52:46
109,22,8,sent,2026-01-04 05:29:17
110,23,15,sent,2025-11-03 13:50:17
111,24,35,seen,2026-03-18 01:32:34
112,24,20,seen,2026-03-18 00:55:20
113,24,7,seen,2026-03-18 01:00:03
114,24,39,seen,2026-03-18 01:29:04
115,24,38,delivered,2026-03-18 00:49:00
116,25,57,seen,2026-02-22 14:18:38
117,25,29,delivered,2026-02-22 13:42:02
118,25,45,seen,2026-02-22 14:14:50
119,25,31,delivered,2026-02-22 13:54:28
120,25,19,sent,2026-02-22 14:06:47
121,25,3,seen,2026-02-22 14:10:49
122,25,15,delivered,2026-02-22 14:31:12
123,25,55,delivered,2026-02-22 14:16:09
124,25,46,seen,2026-02-22 13:49:21
125,26,40,seen,2025-12-09 09:31:15
126,27,15,seen,2026-02-12 06:19:10
127,28,18,delivered,2026-04-22 15:30:20
128,28,40,seen,2026-04-22 15:54:49
129,28,29,sent,2026-04-22 16:03:12
130,28,48,sent,2026-04-22 15:49:55
131,29,54,delivered,2026-04-22 14:00:04
132,30,18,seen,2025-12-26 16:59:05
133,30,40,seen,2025-12-26 17:08:30
134,30,29,seen,2025-12-26 17:53:43
135,30,48,delivered,2025-12-26 16:59:01
136,31,54,seen,2026-03-22 04:01:00
137,32,22,seen,2026-04-10 16:30:49
138,32,21,seen,2026-04-10 17:17:38
139,32,57,seen,2026-04-10 17:17:57
140,32,13,sent,2026-04-10 16:38:28
141,32,46,seen,2026-04-10 16:25:25
142,32,16,seen,2026-04-10 16:40:58
143,32,38,delivered,2026-04-10 17:01:52
144,32,26,seen,2026-04-10 16:51:49
145,32,51,seen,2026-04-10 16:27:15
146,32,28,seen,2026-04-10 16:50:03
147,33,17,delivered,2026-05-03 17:29:44
148,34,52,delivered,2026-04-13 02:02:49
149,34,30,seen,2026-04-13 02:35:59
150,34,42,delivered,2026-04-13 02:04:26
151,34,55,sent,2026-04-13 02:14:44
152,35,18,seen,2026-02-09 07:41:02
153,35,50,seen,2026-02-09 07:15:28
154,35,42,delivered,2026-02-09 08:00:43
155,35,47,seen,2026-02-09 07:29:57
156,36,6,seen,2026-04-02 02:24:42
157,37,7,seen,2026-04-09 11:49:22
158,38,6,seen,2025-11-30 10:18:42
159,39,50,seen,2026-04-11 02:53:30
160,39,42,seen,2026-04-11 02:37:51
161,39,47,sent,2026-04-11 02:47:06
162,39,57,delivered,2026-04-11 03:12:22
163,40,8,delivered,2026-04-13 09:42:18
164,41,22,seen,2026-03-30 23:11:19
165,41,21,seen,2026-03-30 22:39:50
166,41,57,seen,2026-03-30 23:09:16
167,41,13,delivered,2026-03-30 23:07:34
168,41,46,delivered,2026-03-30 22:42:55
169,41,16,delivered,2026-03-30 23:08:49
170,41,38,seen,2026-03-30 23:10:00
171,41,15,seen,2026-03-30 23:09:06
172,41,51,delivered,2026-03-30 22:42:07
173,41,28,seen,2026-03-30 22:37:03
174,42,18,delivered,2026-02-17 20:14:22
175,43,38,seen,2026-05-10 17:32:42
176,43,43,seen,2026-05-10 17:43:00
177,43,22,seen,2026-05-10 17:49:34
178,43,1,seen,2026-05-10 17:33:47
179,44,17,seen,2026-04-25 00:22:37
180,44,59,seen,2026-04-24 23:42:47
181,44,60,seen,2026-04-25 00:14:19
182,44,49,seen,2026-04-25 00:27:29
183,44,11,seen,2026-04-25 00:03:45
184,44,44,seen,2026-04-25 00:15:55
185,44,6,seen,2026-04-25 00:06:23
186,44,20,delivered,2026-04-25 00:24:27
187,44,34,seen,2026-04-25 00:02:23
188,44,55,delivered,2026-04-25 00:04:31
189,45,38,delivered,2026-04-03 17:47:33
190,45,33,seen,2026-04-03 17:55:19
191,45,43,delivered,2026-04-03 17:39:11
192,45,22,seen,2026-04-03 17:58:32
193,46,18,sent,2026-04-16 01:16:26
194,46,50,seen,2026-04-16 00:45:23
195,46,42,seen,2026-04-16 01:16:38
196,46,57,seen,2026-04-16 01:20:05
197,47,22,sent,2026-03-09 07:15:49
198,47,21,seen,2026-03-09 07:05:18
199,47,57,seen,2026-03-09 07:11:17
200,47,13,delivered,2026-03-09 06:44:28
201,47,46,seen,2026-03-09 07:23:44
202,47,16,sent,2026-03-09 07:13:11
203,47,26,seen,2026-03-09 06:48:37
204,47,15,seen,2026-03-09 06:48:22
205,47,51,seen,2026-03-09 06:48:58
206,47,28,seen,2026-03-09 07:16:29
207,48,15,sent,2026-03-13 19:11:47
208,49,43,delivered,2025-12-26 19:14:53
209,50,10,seen,2026-03-02 23:35:36
210,51,57,seen,2026-02-12 02:52:00
211,52,34,seen,2026-02-16 22:25:53
212,53,43,seen,2026-04-21 02:29:45
213,54,18,seen,2025-12-07 15:43:43
214,54,40,seen,2025-12-07 15:56:49
215,54,29,seen,2025-12-07 15:41:43
216,54,24,seen,2025-12-07 15:05:12
217,55,54,delivered,2026-03-18 18:37:50
218,56,35,seen,2026-03-07 09:32:50
219,56,20,seen,2026-03-07 09:39:21
220,56,39,seen,2026-03-07 10:15:46
221,56,2,sent,2026-03-07 09:44:31
222,56,38,seen,2026-03-07 10:13:14
223,57,1,seen,2025-12-22 09:03:27
224,57,5,seen,2025-12-22 08:42:49
225,57,15,delivered,2025-12-22 08:50:46
226,57,55,delivered,2025-12-22 08:40:01
227,57,26,seen,2025-12-22 09:16:38
228,57,51,seen,2025-12-22 08:29:20
229,57,39,seen,2025-12-22 08:55:46
230,57,46,seen,2025-12-22 08:28:13
231,57,3,delivered,2025-12-22 08:31:44
232,58,57,delivered,2026-03-23 17:11:18
233,58,12,seen,2026-03-23 17:54:53
234,58,17,seen,2026-03-23 17:12:20
235,58,25,delivered,2026-03-23 17:12:02
236,58,21,seen,2026-03-23 17:25:00
237,58,14,seen,2026-03-23 18:00:30
238,58,30,seen,2026-03-23 17:12:52
239,58,55,delivered,2026-03-23 17:28:45
240,58,22,delivered,2026-03-23 17:58:57
241,58,49,seen,2026-03-23 17:48:26
242,59,15,seen,2026-03-17 23:29:31
243,60,14,seen,2026-01-24 10:02:54
244,61,24,seen,2025-12-18 07:52:23
245,62,19,seen,2026-03-18 22:21:15
246,63,9,delivered,2026-01-29 07:47:54
247,63,29,delivered,2026-01-29 08:05:24
248,63,54,seen,2026-01-29 08:17:35
249,63,48,seen,2026-01-29 08:10:08
250,63,39,seen,2026-01-29 08:05:20
251,63,19,seen,2026-01-29 07:50:54
252,63,22,seen,2026-01-29 08:13:13
253,63,17,seen,2026-01-29 08:03:12
254,63,6,seen,2026-01-29 07:55:49
255,63,30,seen,2026-01-29 07:47:52
256,64,14,seen,2026-02-14 21:24:21
257,64,25,seen,2026-02-14 20:49:18
258,64,12,seen,2026-02-14 20:53:22
259,64,21,seen,2026-02-14 20:42:42
260,64,1,seen,2026-02-14 20:36:47
261,64,47,seen,2026-02-14 21:01:17
262,65,35,seen,2026-02-02 12:35:45
263,65,7,seen,2026-02-02 12:44:00
264,65,39,delivered,2026-02-02 13:10:44
265,65,2,sent,2026-02-02 12:57:18
266,65,38,seen,2026-02-02 12:32:54
267,66,36,seen,2025-12-15 21:16:09
268,66,9,delivered,2025-12-15 20:37:51
269,66,53,seen,2025-12-15 21:00:49
270,66,30,seen,2025-12-15 21:19:10
271,66,44,sent,2025-12-15 21:14:27
272,66,34,seen,2025-12-15 21:08:58
273,66,37,seen,2025-12-15 20:34:20
274,66,40,seen,2025-12-15 21:18:53
275,66,50,seen,2025-12-15 20:40:13
276,66,29,seen,2025-12-15 20:20:34
277,67,33,delivered,2026-04-16 08:00:02
278,68,9,seen,2026-03-31 09:35:48
279,68,29,seen,2026-03-31 10:19:17
280,68,54,seen,2026-03-31 09:44:21
281,68,48,seen,2026-03-31 10:15:50
282,68,39,delivered,2026-03-31 09:44:08
283,68,22,seen,2026-03-31 10:20:44
284,68,17,delivered,2026-03-31 09:59:37
285,68,6,seen,2026-03-31 09:52:19
286,68,56,seen,2026-03-31 09:52:21
287,68,30,seen,2026-03-31 10:01:44
288,69,43,seen,2026-03-07 16:17:26
289,70,17,seen,2026-04-28 15:12:07
290,71,54,seen,2026-04-10 19:37:45
291,72,18,seen,2026-04-23 23:16:26
292,73,7,seen,2025-12-23 04:31:47
293,73,9,seen,2025-12-23 04:43:46
294,73,54,seen,2025-12-23 04:29:46
295,73,5,delivered,2025-12-23 05:08:32
296,73,27,seen,2025-12-23 04:57:10
297,73,33,delivered,2025-12-23 04:42:03
298,73,58,seen,2025-12-23 04:54:35
299,73,38,seen,2025-12-23 04:45:26
300,73,42,seen,2025-12-23 05:13:21
301,73,4,seen,2025-12-23 04:51:42
302,74,17,delivered,2025-11-30 17:09:33
303,74,52,seen,2025-11-30 17:02:51
304,74,59,seen,2025-11-30 16:46:57
305,74,49,seen,2025-11-30 17:03:29
306,74,11,seen,2025-11-30 16:25:01
307,74,44,delivered,2025-11-30 16:50:46
308,74,6,seen,2025-11-30 16:50:28
309,74,20,seen,2025-11-30 16:17:28
310,74,34,seen,2025-11-30 17:10:44
311,74,55,seen,2025-11-30 17:09:18
312,75,48,seen,2026-03-29 02:24:24
313,75,6,sent,2026-03-29 01:41:37
314,75,39,seen,2026-03-29 01:48:01
315,75,3,sent,2026-03-29 01:42:32
316,75,28,sent,2026-03-29 02:06:45
317,75,49,seen,2026-03-29 01:36:21
318,75,21,seen,2026-03-29 02:17:45
319,75,59,seen,2026-03-29 02:05:13
320,75,2,seen,2026-03-29 01:33:18
321,75,60,sent,2026-03-29 02:09:53
322,76,1,seen,2025-11-23 15:57:51
323,76,5,seen,2025-11-23 16:15:28
324,76,15,seen,2025-11-23 16:16:17
325,76,55,sent,2025-11-23 16:52:13
326,76,28,seen,2025-11-23 16:26:06
327,76,51,seen,2025-11-23 16:08:57
328,76,39,delivered,2025-11-23 16:03:17
329,76,46,seen,2025-11-23 16:13:10
330,76,3,delivered,2025-11-23 16:32:39
331,77,20,delivered,2026-01-04 10:35:48
332,78,14,delivered,2026-04-24 04:34:44
333,78,25,sent,2026-04-24 04:35:22
334,78,12,seen,2026-04-24 04:24:15
335,78,21,seen,2026-04-24 04:23:04
336,78,1,delivered,2026-04-24 05:04:10
337,78,36,seen,2026-04-24 04:52:16
338,79,51,seen,2026-04-30 07:23:22
339,80,19,seen,2026-02-11 12:54:51
340,81,57,seen,2026-01-08 23:56:10
341,81,12,seen,2026-01-08 23:34:15
342,81,4,seen,2026-01-09 00:18:24
343,81,17,delivered,2026-01-09 00:04:33
344,81,25,seen,2026-01-09 00:14:27
345,81,21,seen,2026-01-09 00:09:03
346,81,14,seen,2026-01-08 23:36:56
347,81,55,seen,2026-01-08 23:33:20
348,81,22,delivered,2026-01-09 00:29:41
349,81,49,seen,2026-01-09 00:09:07
350,82,48,seen,2025-11-28 01:57:01
351,82,6,seen,2025-11-28 02:40:34
352,82,39,seen,2025-11-28 02:30:55
353,82,3,seen,2025-11-28 01:56:05
354,82,49,delivered,2025-11-28 02:51:54
355,82,21,seen,2025-11-28 02:07:59
356,82,59,seen,2025-11-28 02:45:12
357,82,17,seen,2025-11-28 02:49:53
358,82,2,seen,2025-11-28 01:59:06
359,82,60,delivered,2025-11-28 02:32:20
360,83,10,delivered,2026-02-20 06:45:29
361,84,38,seen,2025-11-13 21:47:37
362,84,43,seen,2025-11-13 21:24:02
363,84,22,seen,2025-11-13 21:51:53
364,84,1,delivered,2025-11-13 21:48:27
365,85,18,seen,2026-04-04 04:58:05
366,85,50,seen,2026-04-04 04:47:30
367,85,42,sent,2026-04-04 04:53:44
368,85,57,delivered,2026-04-04 04:29:05
369,86,26,seen,2025-11-23 13:46:47
370,87,36,seen,2025-12-27 01:04:10
371,87,9,seen,2025-12-27 01:16:19
372,87,53,seen,2025-12-27 01:06:48
373,87,30,delivered,2025-12-27 00:54:16
374,87,44,seen,2025-12-27 00:47:48
375,87,34,seen,2025-12-27 00:49:08
376,87,40,seen,2025-12-27 01:09:55
377,87,21,seen,2025-12-27 00:49:27
378,87,50,sent,2025-12-27 01:05:44
379,87,29,delivered,2025-12-27 00:40:20
380,88,36,seen,2026-03-19 22:33:34
381,88,9,delivered,2026-03-19 22:53:54
382,88,53,seen,2026-03-19 23:11:14
383,88,30,delivered,2026-03-19 22:54:33
384,88,44,seen,2026-03-19 22:35:14
385,88,34,sent,2026-03-19 22:49:00
386,88,37,seen,2026-03-19 23:19:56
387,88,21,delivered,2026-03-19 22:37:00
388,88,50,sent,2026-03-19 22:57:23
389,88,29,seen,2026-03-19 23:05:50
390,89,45,seen,2026-03-27 17:20:45
391,90,55,sent,2026-05-07 04:57:53
392,91,34,seen,2026-03-01 13:41:52
393,92,52,seen,2026-03-17 19:57:53
394,92,30,seen,2026-03-17 19:36:35
395,92,8,delivered,2026-03-17 20:02:13
396,92,42,seen,2026-03-17 20:25:13
397,93,51,seen,2026-03-20 17:01:19
398,94,15,seen,2026-04-05 23:19:31
399,95,15,seen,2026-04-21 04:30:13
400,96,15,delivered,2026-05-11 17:37:02
401,97,48,delivered,2026-01-23 23:56:45
402,97,6,sent,2026-01-24 00:16:28
403,97,3,delivered,2026-01-24 00:07:15
404,97,28,seen,2026-01-23 23:52:03
405,97,49,seen,2026-01-24 00:03:38
406,97,21,seen,2026-01-24 00:20:38
407,97,59,seen,2026-01-24 00:00:08
408,97,17,seen,2026-01-23 23:56:02
409,97,2,seen,2026-01-24 00:13:48
410,97,60,seen,2026-01-24 00:29:08
411,98,12,seen,2026-02-23 01:45:19
412,99,26,seen,2025-11-08 11:05:08
413,100,2,seen,2026-04-08 06:03:06
414,100,60,seen,2026-04-08 05:47:27
415,100,34,delivered,2026-04-08 05:28:46
416,100,49,seen,2026-04-08 05:54:20
417,100,10,delivered,2026-04-08 05:28:19
418,100,6,delivered,2026-04-08 05:34:04
